time,agegroup
1,8802,35
2,8979,30
3,9086,30
4,9235,35
5,9450,30
6,9605,40
7,9704,30
8,9713,35
9,10261,35
10,10448,40
11,10468,40
12,10530,35
13,10591,35
14,10616,30
15,10747,30
16,10761,40
17,10774,35
18,10783,50
19,10893,35
20,10945,35
21,11218,45
22,11236,35
23,11258,40
24,11259,55
25,11328,45
26,11335,40
27,11347,35
28,11372,40
29,11393,35
30,11393,40
31,11408,40
32,11417,30
33,11427,30
34,11441,30
35,11457,30
36,11467,40
37,11507,45
38,11511,45
39,11516,50
40,11536,35
41,11545,45
42,11549,30
43,11551,30
44,11678,30
45,11715,40
46,11716,50
47,11724,30
48,11765,30
49,11766,40
50,11766,50
51,11777,40
52,11784,45
53,11798,35
54,11799,35
55,11832,40
56,11872,30
57,11873,30
58,11874,30
59,11886,30
60,11889,30
61,11889,35
62,11911,35
63,11919,40
64,11933,30
65,11984,30
66,11994,50
67,12021,40
68,12038,40
69,12047,30
70,12049,35
71,12096,30
72,12096,40
73,12100,40
74,12105,30
75,12113,35
76,12163,35
77,12195,40
78,12197,35
79,12229,40
80,12232,40
81,12233,55
82,12237,35
83,12266,30
84,12273,35
85,12281,45
86,12290,30
87,12314,45
88,12324,30
89,12331,45
90,12332,50
91,12359,40
92,12366,55
93,12368,30
94,12374,30
95,12386,45
96,12394,45
97,12415,30
98,12419,40
99,12431,45
100,12440,50
101,12447,40
102,12455,35
103,12470,30
104,12471,35
105,12479,35
106,12485,45
107,12497,35
108,12497,50
109,12502,30
110,12521,30
111,12538,30
112,12538,35
113,12540,35
114,12542,35
115,12551,35
116,12556,45
117,12570,30
118,12582,30
119,12583,35
120,12584,30
121,12584,35
122,12585,35
123,12585,40
124,12589,50
125,12598,30
126,12599,35
127,12601,35
128,12603,40
129,12604,45
130,12606,40
131,12613,30
132,12618,50
133,12621,35
134,12626,35
135,12632,45
136,12648,35
137,12648,45
138,12656,35
139,12658,45
140,12661,35
141,12678,30
142,12682,40
143,12689,45
144,12690,40
145,12693,40
146,12704,35
147,12724,55
148,12727,35
149,12728,30
